label,message
scam,"Increase your credit limit to $5,000 instantly without documentation. Click to activate"
ham,"Mom sent 1,200 BDT through Rocket. Check if it reflects in your balance"
scam,Your insurance refund of $350 is ready. Complete verification before it expires
ham,I paid the hotel booking charge via Visa. Check the confirmation email
scam,Security alert: Multiple failed login attempts on your wallet. Restore access now
ham,"The rent of 8,500 BDT has been transferred. Please send acknowledgment"
scam,Final warning: Your credit card account will be frozen within 24 hours. Verify now at securebankportal.com
ham,"I sent 3,700 BDT for groceries via bKash. Let me know once it reaches"
scam,"Congratulations! You are selected for a $2,000 investment bonus. Submit details to claim"
ham,"Paid the electricity bill of 1,250 BDT today. Please check if it cleared"
scam,Your PayPal account is under review due to suspicious activity. Confirm identity immediately
ham,"I transferred 5,500 BDT for the office stationery. Confirm receipt"
scam,Exclusive: Unlock a high-yield savings account with 5% bonus interest. Apply now
ham,"Sent advance payment of 15,000 BDT for the event hall booking. Await confirmation"
scam,Alert: Unauthorized loan application detected in your name. Verify or report now
ham,"I repaid the 2,300 BDT loan you gave last week. Please confirm"
scam,Urgent: Your bank account has been flagged for multiple failed login attempts. Verify now to avoid freeze
ham,"I transferred 2,800 BDT for the monthly internet bill. Check and confirm receipt"
scam,"Limited offer: Apply for an instant $1,500 payday loan without credit check"
ham,"Client has deposited 50,000 BDT today. Update your records accordingly"
scam,"Your lottery reward of $1,200 is pending. Submit bank details to claim before deadline"
ham,"Paid the school fees of 12,500 BDT today. Please acknowledge"
scam,Security alert: Your debit card shows suspicious activity. Confirm transaction immediately
ham,"I sent 1,800 BDT to settle the grocery expenses. Let me know if it’s received"
scam,"Exclusive crypto investment opportunity: Deposit $200 to earn $1,500 monthly. Limited seats"
ham,"Salary of 45,000 BDT has been credited. Check your payroll slip"
scam,আপনার একাউন্টে সন্দেহজনক লেনদেন হয়েছে। দ্রুত যাচাই করুন।
ham,আপনার মোবাইল রিচার্জ সফল হয়েছে। ধন্যবাদ।
scam,"জরুরি! আপনার অ্যাকাউন্ট ব্লক হতে চলেছে, লগইন করুন"
scam,আপনার লটারি জিতেছেন! এখনই তথ্য পাঠান।
scam,আপনার ব্যাংক অ্যাকাউন্টে সন্দেহজনক লেনদেন হয়েছে। বিশদ তথ্যের জন্য কল করুন।
ham,আপনার অ্যাকাউন্টের ব্যালেন্স ৭০০০ টাকা।
scam,আপনি এখনই লটারি জিতেছেন। বিস্তারিত জানার জন্য কল করুন।
ham,"অজানা নম্বর থেকে কল এড়ান, এটি প্রতারণামূলক।"
scam,অনলাইন ট্রেডিং প্লাটফর্মে যোগ দিয়ে বিনিয়োগ করুন।
scam,আপনার অ্যাকাউন্ট থেকে অবৈধ লেনদেন হয়েছে। অচিরেই অভিযোগ জানান।
scam,আপনার ব্যাংক অ্যাকাউন্টের বিস্তারিত তথ্য আপডেট করুন।
ham,আপনার মোবাইল নম্বর রিচার্জ সফল হয়েছে। ধন্যবাদ।
scam,অনলাইন লেনদেনে আগ্রহী? দ্রুত যোগাযোগ করুন।
scam,আপনার লোন এর আবেদন অগ্রগামী। দ্রুত OTP দিন।
scam,আপনার অ্যাকাউন্টে কিছু সন্দেহজনক কার্যকলাপ লক্ষ্য করা গেছে। সাহায্য করার জন্য কল করুন।
scam,"চলুন, আজই আপনার ব্যালেন্স বাড়ান। বিনিয়োগের জন্য দ্রুত যোগাযোগ করুন।"
ham,"আপনার ওটিপি কোড ১২৩৪৫৬, দয়া করে কারো সাথে শেয়ার করবেন না।"
scam,Congratulations! You have won a prize. Send OTP to claim your reward.
scam,"Urgent! Your account will be suspended, verify now by sending OTP."
scam,Your loan approved! Send your personal details to receive funds.
ham,Monthly subscription payment received. Thank you for your service usage.
scam,"Warning! Suspicious login detected, confirm your identity with OTP."
ham,"নতুন মোবাইল প্ল্যান অফার, বিস্তারিত জানতে কল করুন।"
scam,Account locked! Provide OTP now to unlock your account.
ham,"আপনার পেমেন্ট সফল হয়েছে, মোট ব্যালেন্স BDT ১২,০০০।"
scam,"আপনার কার্ড থেকে অননুমোদিত লেনদেন করা হয়েছে, কল করুন অবিলম্বে।"
scam,Urgent! Update your bank details to continue service.
ham,Your account balance is BDT 7000. Thank you for banking with us.
scam,"জরুরি: আপনার একাউন্টে অস্থায়ী সমস্যা হয়েছে, এখনি লগইন করে যাচাই করুন।"
scam,Congratulations! You are selected for a free gift. Send OTP to claim.
ham,"আপনার মোবাইল রিচার্জ সফল হয়েছে, ধন্যবাদ।"
scam,Urgent action required! Verify your account with OTP within 10 minutes.
scam,Your debit card is blocked for suspicious activity. Call now to unblock.
ham,New mobile plan launched. Contact customer care for details.
ham,OTP verification failed. Please try again.
ham,"আপনার লোড ব্যালেন্স ক্ষীণ হচ্ছে, দ্রুত রিফিল করুন।"
scam,Warning! Unauthorized access attempt detected. Verify with OTP now.
scam,আপনার অ্যাকাউন্ট থেকে টাকা কেটে নেওয়া হয়েছে। সতর্ক থাকুন।
ham,"Your subscription has been renewed successfully.	"
ham,আপনার মোবাইল ফোনের বিল পরিশোধ সফল হয়েছে। ধন্যবাদ।
scam,Earn BDT 3000 daily working from home. Register now.
scam,আজকের বিশেষ অফার! আপনার ডিসকাউন্ট এনজয় করতে কল করুন আজই।
scam,Your debit card has been temporarily blocked due to suspicious activity.
ham,"আপনার মেইল বক্স পূর্ণ, নতুন মেইল দেখতে লগইন করুন।"
ham,Your subscription has been renewed successfully. Thank you.
scam,Update your bank details now to avoid service disruption.
scam,"Dear user, update your payment info to avoid account suspension. Click the link now."
ham,Your package delivery is scheduled for tomorrow. Track here: tracking-link.com
scam,Urgent: Verify your email by clicking the verification link within 24 hours.
scam,Congratulations! You are selected for a free iPhone. Claim by replying with your address.
ham,"Team meeting is rescheduled to 3 PM, please confirm your availability."
scam,Win big with our new lottery. Reply WIN to participate.
ham,A new login to your account was detected from an unknown device. Secure your login now.
ham,Thank you for your recent purchase. Your order #12345 will arrive soon.
scam,Update your password immediately to safeguard your account.
scam,Limited time offer: Upgrade your plan now and save 30%.
ham,Your bank statement is ready. Download your PDF here.
ham,New message from support team. Check your inbox for details.
ham,"আপনার OTP কোড 947123, কারো সাথে শেয়ার করবেন না।	"
ham,আপনার ফেসবুক একাউন্টে নতুন মেসেজ এসেছে। এখনই চেক করুন।
ham,"Payment of BDT 2,500 received successfully. Thank you for your payment."
ham,Friend request from Raisa Moni.
scam,আপনার ব্যাংক স্টেটমেন্ট ডাউনলোড করতে এখানে ক্লিক করুন।
scam,Earn BDT 3000 daily from home. Register now!
ham,"	Your insurance claim has been approved. Contact us for details."
scam,"আপনার অ্যাকাউন্ট থেকে অবৈধ লেনদেন হয়েছে, দ্রুত কল করুন।"
ham,Your software update is ready to install. Proceed now.
scam,Verify your email address by clicking this link.
ham,আপনার মোবাইল সেটিংস আপডেট করেছেন?
ham,Your subscription will expire tomorrow. Renew to continue service.
ham,আপনার ফেসবুক এ নতুন মন্তব্য এসেছে। এখনই দেখুন।
ham,Friend request from Rafi Ahmed. Accept to connect.
ham,"আপনার মোবাইল সেটিংস সফলভাবে আপডেট হয়েছে।	"
